name,description,is_freelance,hide_salary,hide_company,number_of_positions,is_featured,auto_renew,latitude,longitude,content,apply_url,address,country,state,city,company_name,career_level,salary_from,salary_to,salary_range,skills,categories,types,tags,currency_id,degree_level,job_shift,job_experience,functional_area,start_date,expire_date,application_closing_date,never_expired,employer_colleagues,moderation_status,status
"Finance Officer","We are hiring a Finance Officer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Oversee budgeting and expenses.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2300,4000,"monthly","Finance,Budgeting,Reporting","Finance","Full Time","finance officer ghana","GHS","Bachelor","Day","3 - 5 Years","Finance","2026-02-01","2026-04-01","2026-03-15","No","7","approved","published"
"Sales Executive","We are hiring a Sales Executive.","No","No","No",3,"No","Yes",5.6037,-0.1870,"Drive sales and manage clients.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1600,3000,"monthly","Sales,Communication,Negotiation","Sales","Full Time","sales executive ghana","GHS","Diploma","Day","1 - 3 Years","Sales","2026-02-01","2026-04-01","2026-03-15","No","8","approved","published"
"Business Development Officer","We are seeking a Business Development Officer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Identify growth opportunities.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2500,4500,"monthly","Business,Strategy,Sales","Sales","Full Time","business development ghana","GHS","Bachelor","Day","3 - 5 Years","Business Development","2026-02-01","2026-04-01","2026-03-15","No","9","approved","published"
"Customer Support Officer","We are hiring a Customer Support Officer.","No","No","No",2,"No","Yes",5.6037,-0.1870,"Assist customers and resolve issues.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1600,2800,"monthly","Customer Service,Communication","Customer Service","Full Time","customer support ghana","GHS","High School","Day","1 - 2 Years","Customer Support","2026-02-01","2026-04-01","2026-03-15","No","15","approved","published"
"IT Support Officer","We are seeking an IT Support Officer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Provide technical support to staff.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1800,3000,"monthly","IT Support,Networking","Technology","Full Time","it support ghana","GHS","Diploma","Day","1 - 3 Years","IT Support","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"System Administrator","We are hiring a System Administrator.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Manage servers and systems.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Senior Level",4000,6500,"monthly","System Admin,Linux,Networking","Technology","Full Time","sysadmin ghana","GHS","Bachelor","Day","5 - 7 Years","System Administration","2026-02-01","2026-04-01","2026-03-15","No","5","approved","published"
"Project Manager","We are seeking a Project Manager.","No","No","No",1,"Yes","Yes",5.6037,-0.1870,"Plan and deliver projects.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Senior Level",4500,7000,"monthly","Project Management,Leadership","Management","Full Time","project manager ghana","GHS","Bachelor","Day","5 - 8 Years","Project Management","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"Operations Manager","We are hiring an Operations Manager.","No","No","No",1,"Yes","Yes",5.6037,-0.1870,"Oversee daily operations.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Senior Level",4800,7500,"monthly","Operations,Leadership,Planning","Management","Full Time","operations manager ghana","GHS","Bachelor","Day","5 - 8 Years","Operations","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"Logistics Officer","We are seeking a Logistics Officer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Coordinate deliveries and inventory.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2200,3600,"monthly","Logistics,Inventory,Planning","Logistics","Full Time","logistics ghana","GHS","Diploma","Day","2 - 4 Years","Logistics","2026-02-01","2026-04-01","2026-03-15","No","5","approved","published"
"Procurement Officer","We are hiring a Procurement Officer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Manage purchasing activities.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2300,3800,"monthly","Procurement,Negotiation","Logistics","Full Time","procurement ghana","GHS","Bachelor","Day","3 - 5 Years","Procurement","2026-02-01","2026-04-01","2026-03-15","No","5","approved","published"
"Data Analyst","We are seeking a Data Analyst.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Analyze data and generate insights.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",3000,5000,"monthly","Data Analysis,SQL,Excel","Technology","Full Time","data analyst ghana","GHS","Bachelor","Day","3 - 5 Years","Data Analysis","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"QA Tester","We are hiring a QA Tester.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Test software for quality issues.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",2000,3200,"monthly","Testing,QA,Bug Tracking","Technology","Full Time","qa tester ghana","GHS","Diploma","Day","1 - 3 Years","Quality Assurance","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"DevOps Engineer","We are seeking a DevOps Engineer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Maintain deployment pipelines.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Senior Level",4500,7000,"monthly","DevOps,Docker,CI/CD","Technology","Full Time","devops ghana","GHS","Bachelor","Day","5 - 8 Years","DevOps","2026-02-01","2026-04-01","2026-03-15","No","4","approved","published"
"Mobile App Developer","We are hiring a Mobile App Developer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Build Android and iOS apps.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",3000,5200,"monthly","Flutter,Android,iOS","Technology","Full Time","mobile developer ghana","GHS","Bachelor","Day","3 - 5 Years","Mobile Development","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"SEO Specialist","We are seeking an SEO Specialist.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Optimize website search rankings.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2200,3800,"monthly","SEO,Analytics,Content","Marketing","Full Time","seo specialist ghana","GHS","Bachelor","Day","2 - 4 Years","Marketing","2026-02-01","2026-04-01","2026-03-15","No","5","approved","published"
"Video Editor","We are hiring a Video Editor.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Edit and produce video content.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1800,3200,"monthly","Video Editing,Premiere","Design","Full Time","video editor ghana","GHS","Diploma","Day","1 - 3 Years","Media Production","2026-02-01","2026-04-01","2026-03-15","No","5","approved","published"
"Photographer","We are seeking a Photographer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Capture professional photos.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1500,2800,"monthly","Photography,Editing","Design","Full Time","photographer ghana","GHS","High School","Day","1 - 3 Years","Media Production","2026-02-01","2026-04-01","2026-03-15","No","4","approved","published"
"Cleaner","We are hiring a Cleaner.","No","No","No",2,"No","Yes",5.6037,-0.1870,"Maintain office cleanliness.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",900,1400,"monthly","Cleaning,Hygiene","Operations","Full Time","cleaner ghana","GHS","High School","Day","0 - 1 Years","Operations","2026-02-01","2026-04-01","2026-03-15","No","10","approved","published"
"Security Officer","We are seeking a Security Officer.","No","No","No",2,"No","Yes",5.6037,-0.1870,"Ensure safety of premises.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1200,2000,"monthly","Security,Monitoring","Operations","Full Time","security officer ghana","GHS","High School","Day","1 - 3 Years","Security","2026-02-01","2026-04-01","2026-03-15","No","8","approved","published"
